¿Qué nombre recibe el punto más profundo del océano?,Cultura General,Difícil,Abismo de Challenger,Punto Nemo,Abismo de Factorian,Abismo de Molloy,90
¿Cuál de los siguientes elementos es un alcalino?,Cultura General,Difícil,Francio (Fr),Radio (Ra),Hidrógeno (H),Hierro (Fe),90
¿Qué otro nombre recibe el TNT?,Cultura General,Difícil,Trinitrotolueno,Trisulfuro nitroso,Tetranitrato de tolueno,No tiene otro nombre,90
¿De qué país es originario el submarino?,Cultura General,Difícil,España,Alemania,Estados Unidos,Italia,90
¿Cuántas bases nitrogenadas distintas se pueden encontrar en el ADN humano?,Cultura General,Difícil,Cuatro,Cinco,Seis,Tres,90
¿Cómo se le llama al ancestro común más reciente de todos los seres vivos?,Cultura General,Difícil,LUCA,MARO,LUCY,ADRE,90
¿Cómo se llaman los siete problemas matemáticos cuya resolución premia con un millón de euros?,Cultura General,Difícil,Problemas del milenio,Los 7 problemas,Retos del siglo,Enigmas del siglo XXI,90
"¿Qué síndrome tenía el rey Carlos II, ""El Hechizado""?",Cultura General,Difícil,Síndrome de Klinefelter,Síndrome de Down,Síndrome del maullido de gato,No tenía ningún síndrome,90
¿Qué científico descubrió la dualidad onda-partícula?,Cultura General,Difícil,Louis de Broglie,Sommerfield,Schrödinger,Heisenberg,90
¿Cuál de las siguientes no es una de las fuerzas fundamentales?,Cultura General,Difícil,Magnética,Nuclear débil,Gravedad,Nuclear fuerte,90
¿Cuál es el animal más venenoso del mundo?,Cultura General,Difícil,Avispa de mar,Rana punta de flecha,Araña violinista,Taipán occidental,90
¿En qué año cayó la armada invencible?,Cultura General,Difícil,1588,1552,1601,1602,90
¿Cómo se denomina a los componentes de las proteínas?,Cultura General,Difícil,Aminoácidos,Péptidos,Ribosomas,Lípidos,90
¿Qué nombre recibe la red del Departamento de Defensa estadounidense que fue el origen del Internet?,Cultura General,Difícil,ARPANET,NetDefense,CommLink,CyberGrid,90
¿Cuál es el país con mayor porcentaje de budistas?,Cultura General,Difícil,Camboya,China,Tailandia,Japón,90
¿Por qué otro nombre se conoce a la vitamina B3?,Cultura General,Difícil,Niacina,Riboflavina,Piridoxina,Cobalamina,90
¿Dónde está el punto más elevado del mundo?,Cultura General,Fácil,Monte Everest,Makalu,Kachenjunga,Lhotse,30
¿Cómo se llama el orificio que utilizan los delfines para respirar?,Cultura General,Fácil,Espiráculo,Branquias,Nariz,Alveolo,30
¿Qué nombre recibe la hembra del caballo?,Cultura General,Fácil,Yegua,Caballa,Caballo,Poni,30
¿Qué recurso estilístico se basa en la exageración de la realidad?,Cultura General,Fácil,Hipérbole,Hipérbola,Comparación,Metáfora,30
¿Con cuántos países fronteriza España?,Cultura General,Fácil,Cinco,Cuatro,Tres,Dos,30
¿Cuál es el país más pequeño del mundo?,Cultura General,Fácil,El Vaticano,San Marino,Malta,Luxemburgo,30
¿Cuántos estómagos tiene una vaca?,Cultura General,Fácil,Cuatro,Uno,Uno dividido en cuatro,No tienen,30
¿Qué país no ha sufrido ataques nucleares?,Cultura General,Fácil,Andorra,Estados Unidos,Japón,Rusia,30
¿Quién es el deportista más famoso del mundo?,Cultura General,Fácil,Cristiano Ronaldo,Lebron James,Lionel Messi,Roger Federer,30
¿Cuál de los siguientes mamíferos puede poner huevos?,Cultura General,Fácil,Ornitorrinco,Ballena ,Perro,Ningún mamífero pone huevos,30
¿Cuál es la causa principal de mortalidad en el mundo?,Cultura General,Fácil,Problemas cardiovasculares,Complicaciones pulmonares,Accidentes de tráfico,Epidemias,30
¿Cuál es la unidad de medida de la fuerza?,Cultura General,Fácil,Newtons,Bares,Amperios,Armstrong,30
¿Cuál de los siguientes no es un deporte olímpico?,Cultura General,Fácil,Pádel,Fútbol,Ping pong,Natación sincronizada,30
¿Cuál es la teoría evolutiva actual?,Cultura General,Fácil,Neodarwinismo,Darwinismo,Naturalismo,Lamarckismo,30
¿Cuántas teclas tiene un piano?,Cultura General,Fácil,88,76,60,80,30
¿Quién pintó “El Grito”?,Cultura General,Fácil,Edvard Munch,Vincent van Gogh,Henri Matisse,Gustav Klimt,30
¿Cuál era el movimiento artístico que seguía Picasso?,Cultura General,Fácil,Cubismo,Surrealismo,Expresionismo,Futurismo,30
¿Cuál es el río más caudaloso del mundo?,Cultura General,Fácil,Amazonas,Nilo,Misisipi,Obi,30
¿Quién pintó “La última cena”?,Cultura General,Fácil,Leonardo da Vinci,Miguel Ángel,Diego Velázquez,Vincent van Gogh,30
¿Cuándo acabó la II Guerra Mundial?,Cultura General,Fácil,1945,1939,1914,1971,30
¿Cuál es el animal más rápido del mundo?,Cultura General,Fácil,Guepardo,Pez Vela,Halcón peregrino,Avestruz,30
¿Cuál es país más poblado de la Tierra?,Cultura General,Fácil,India,China,Estados Unidos,Indonesia,30
¿Cuál es el nombre de la lengua oficial en China?,Cultura General,Fácil,Mandarín,Mongol,Chino simplificado,Zhuang,30
¿Cuál es tercer planeta del  sistema solar?,Cultura General,Fácil,La Tierra,Venus,Júpiter,Marte,30
¿Cuál es el libro sagrado del Islam?,Cultura General,Fácil,El Corán,La Biblia,Bodhi,Sahih al-Bujari,30
¿Cúal es el proceso de alimentación de las plantas?,Cultura General,Fácil,Fotosíntesis,Polinización,Fermentación,Nutrición autotrófica,30
¿Cómo se llama el triángulo que tiene tres lados iguales?,Cultura General,Fácil,Equilátero,Simétrico,Isósceles,Escaleno,30
¿Cuál es la capital de Dinamarca?,Cultura General,Fácil,Copenhague,Oslo,Tirana,Berlín,30
¿Cuándo llegó Cristóbal Colón a America?,Cultura General,Fácil,1492,1416,1502,1475,30
¿En qué isla está situado el Teide?,Cultura General,Fácil,Tenerife,Formentera,La Palma,El Hierro,30
¿Cuándo llegó el hombre a la Luna?,Cultura General,Fácil,1969,1910,1974,1941,30
¿Cuántos lados tiene un heptágono?,Cultura General,Fácil,Siete,Seis,Diez,Cinco,30
¿Dónde se encuentra la Torre de Pisa?,Cultura General,Fácil,Italia,Suiza,Turquía,Marruecos,30
¿Cuál es el “País del Sol Naciente”?,Cultura General,Fácil,Japón,España,Vietnam,Chile,30
¿En qué país se encuentra el rascacielos más alto del mundo?,Cultura General,Fácil,Emiratos Árabes Unidos,Estados Unidos,Corea del Sur,Arabia Saudita,30
¿Cuándo comenzó la Revolución Francesa?,Cultura General,Fácil,1789,1799,1812,1750,30
¿Cuál es la selva más grande del mundo?,Cultura General,Fácil,Selva Amazónica,Selva del Congo,Selva de Borneo,Selva de Daintree,30
"¿Quién escribió ""Don Quijote de la Mancha""?",Cultura General,Fácil,Miguel de Cervantes,Federico García Lorca,William Shakespeare,Gabriel García Márquez,30
¿Quién fue el primer presidente de los Estados Unidos?,Cultura General,Fácil,George Washington,John Adams,James Monroe,William Henry Harrison,30
¿Cuántos cromosomas tienen los humanos?,Cultura General,Fácil,46,48,45,44,30
¿Cuántos dientes tiene una persona adulta?,Cultura General,Fácil,32,36,28,30,30
¿Cuál es el animal que más muertes humanas provoca cada año?,Cultura General,Fácil,Mosquito,Chinche asesino,Caracol de agua dulce,Mosca Tse-Tse,30
¿Cómo se llama a la comunicación entre las neuronas?,Cultura General,Fácil,Sinapsis,Neurotransmisión,Despolarización,Impulso,30
¿Cuál es el único mamífero que no puede saltar?,Cultura General,Fácil,Elefante,Hipopótamo,Rinoceronte,Ornitorrinco,30
